,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
7173,7173,spotify:track:4q6L3Ca4YuLHWg8YZqfMvE,Long Haul,Ian Munsick,64,56027,"('contemporary country', 'wyoming roots')",Long Haul,50,0.506,0.627,-7.851,141.89,231266,0.0
7174,7174,spotify:track:2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,Luke Combs,83,5967424,"('contemporary country', 'country')",This One's for You Too (Deluxe Edition),79,0.551,0.402,-7.431,103.313,193200,0.0
7175,7175,spotify:track:2DwbFtfC6sXBiVDPmju8Dd,Happy Anywhere (feat. Gwen Stefani),Blake Shelton,80,6184949,"('contemporary country', 'country', 'country road', 'oklahoma country')",Happy Anywhere (feat. Gwen Stefani),8,0.538,0.745,-5.774,165.755,170173,0.0
7176,7176,spotify:track:16ayXVtAftZYobyrNsZUQv,Another,Adam Doleac,59,34882,"('contemporary country', 'country pop')",Another,64,0.595,0.58,-6.482,74.99,188014,
7177,7177,spotify:track:3y4LxiYMgDl4RethdzpmNe,Breathe,Faith Hill,71,1454501,"('contemporary country', 'country', 'country dawn', 'country road', 'dance pop')",Breathe,68,0.529,0.496,-9.007,136.859,250547,
7178,7178,spotify:track:1D7cfiC5mxqHfTCcOiRBej,Love You Like I Used To,Russell Dickerson,68,347985,"('contemporary country', 'country', 'country road', 'modern country rock')",Love You Like I Used To,65,0.501,0.788,-4.624,152.047,186613,0.0
7179,7179,spotify:track:027269uzraETHuoG6aMs6a,Waves,Luke Bryan,79,6958931,"('contemporary country', 'country', 'country road')",Born Here Live Here Die Here (Deluxe Edition),68,0.494,0.771,-4.309,136.053,228440,
7180,7180,spotify:track:5AnSllIrgGsCZzZJkVnApx,Eyes On You,Chase Rice,67,969216,"('contemporary country', 'country', 'country road', 'modern country rock')",Lambs & Lions,71,0.606,0.652,-6.982,97.155,182493,
7181,7181,spotify:track:0pJalGEYsRikSogLkXU6KV,You Time,Scotty McCreery,65,768519,"('contemporary country', 'country', 'country road', 'modern country rock')",You Time,62,0.55,0.767,-6.281,104.016,192027,
7182,7182,spotify:track:10M2Ex445zw585Ducldzkw,In Case You Didn't Know,Brett Young,71,817966,"('contemporary country', 'country')",Brett Young,76,0.607,0.536,-7.306,147.986,224853,0.0
7183,7183,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,Speechless,Dan + Shay,79,2492772,"('contemporary country', 'country', 'pop')",Dan + Shay,75,0.616,0.438,-5.968,135.929,213387,0.0
7184,7184,spotify:track:6GEzLG3Lxqy0oFLxiRj0HM,Yours,Russell Dickerson,68,347985,"('contemporary country', 'country', 'country road', 'modern country rock')",Yours,0,0.551,0.725,-6.005,134.047,216893,
