,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms,is_explict_content
5383,spotify:track:7w6PJe5KBPyvuRYxFkPssC,No More Tears,Ozzy Osbourne,75,3952878,"('album rock', 'birmingham metal', 'hard rock', 'metal', 'rock')",No More Tears (Expanded Edition),67,0.346,0.749,-6.506,102.591,443240,0.0
5384,spotify:track:2tAeN2TKlQLOoSPXtARzBV,Eruption - 2015 Remaster,Van Halen,75,4421531,"('album rock', 'classic rock', 'hard rock', 'metal', 'rock')",Van Halen (Remastered),64,0.225,0.689,-9.12,93.798,102080,0.0
5385,spotify:track:2S7dIlkIskYF2mv1R66O1m,For Whom The Bell Tolls - Remastered,Metallica,84,19928691,"('hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal')",Ride The Lightning (Deluxe / Remastered),0,0.518,0.858,-6.147,117.897,309973,0.0
5386,spotify:track:7yDrKl1J4VWNbR4aLU3qJ7,I Love It Loud,KISS,75,6647779,"('album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock')",Creatures Of The Night,62,0.414,0.897,-6.406,170.916,255427,0.0
5387,spotify:track:0VLxw3HiC9deFFOMHutCUK,Big City Nights - 2015 - Remaster,Scorpions,76,5174856,"('album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock')",Love At First Sting,0,0.499,0.936,-3.031,137.627,249147,0.0
5388,spotify:track:5fIZDuxfuM4tANRHZ8Btju,The Last In Line,Dio,65,1865799,"('album rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock')",The Last In Line (Deluxe Edition),56,0.295,0.833,-8.279,172.756,343173,0.0
5389,spotify:track:5LO0sJCkNMZYLYeGOvblLu,In My Darkest Hour - Remastered,Megadeth,72,3730757,"('album rock', 'alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal')","So Far, So Good...So What! (2004 Remaster)",59,0.322,0.978,-5.446,112.878,386600,0.0
5390,spotify:track:1aDNYyeU62BuQsBAY18i48,Stargazer,Rainbow,65,1137490,"('album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock')",Rising,61,0.166,0.948,-8.503,177.495,506160,0.0
5391,spotify:track:14H2fE4WEdkEem0kjVeODT,Phantom of the Opera - 2015 Remaster,Iron Maiden,76,6980518,"('hard rock', 'metal', 'nwobhm', 'rock')",Iron Maiden (2015 Remaster),58,0.319,0.952,-5.315,109.275,441467,0.0
5392,spotify:track:6QDbGdbJ57Mtkflsg42WV5,Hot for Teacher - 2015 Remaster,Van Halen,75,4421531,"('album rock', 'classic rock', 'hard rock', 'metal', 'rock')",1984 (Remastered),68,0.552,0.947,-4.671,127.631,282747,0.0
5393,spotify:track:31dqpLUModJWNbxrXu6TWd,Shot in the Dark,Ozzy Osbourne,75,3952878,"('album rock', 'birmingham metal', 'hard rock', 'metal', 'rock')",The Ultimate Sin,63,0.581,0.791,-7.262,123.887,256293,0.0
