,Unnamed: 0,track_uri,track_name,artist_name,artist_popularity,artist_followers,artist_genres,album,track_popularity,track_danceability,track_energy,track_loudness,track_tempo,track_duration_ms
2737,2737,spotify:track:2zAzuCsqsZkSkozxTXqtSn,Alive,Yot Club,72,115673,"('bedroom pop', 'indie pop')",Alive,52,0.634,0.837,-7.141,149.623,180295
2738,2738,spotify:track:5BoDFGTXZ8j5muc6Sb2jMz,Lava,Still Woozy,73,755548,"('bedroom pop', 'oakland indie')",Lava,0,0.623,0.615,-10.064,169.137,157303
2739,2739,spotify:track:3eZqBNHlNA4lUsbAB6UmvD,Loretta,Ginger Root,55,69164,"('oc indie',)",Loretta,61,0.706,0.801,-5.646,130.001,190154
2740,2740,spotify:track:25WP1r39qdLD9RQjlxgwDr,Our Past Lives,Far Caspian,54,96825,"('leeds indie',)",Ways To Get Out,46,0.542,0.424,-11.532,96.825,225849
2741,2741,spotify:track:2QHTcXI19lvcVrkVeADxa5,Turtleneck Sweater,marinelli,48,7278,"('modern indie pop',)",Turtleneck Sweater,52,0.707,0.658,-5.442,145.059,150038
2742,2742,spotify:track:7lLtAjBc4Fkaw0FkBQWlSX,Medicine,Gus Dapperton,68,427077,"('bedroom pop', 'indie pop', 'indie poptimism')",Orca,54,0.602,0.395,-4.749,129.942,240782
2743,2743,spotify:track:2XzQvMj0sczBQmAceS8gyT,Pretend,Ralph Castelli,59,54578,"('alaska indie',)",Pretend,45,0.655,0.635,-11.305,144.975,192500
2744,2744,spotify:track:0nXyCNdS6fkZNP11DwGq1i,Lucy,Still Woozy,73,755548,"('bedroom pop', 'oakland indie')",Lucy,0,0.649,0.535,-12.017,84.466,142500
2745,2745,spotify:track:2pPWGBZzE1h46lgYv6CgYn,Work It On Out,Haiva Ru,42,6394,(),Bloom Baby Bloom,39,0.712,0.604,-8.961,110.022,225969
2746,2746,spotify:track:1XlLmcGawSaHSysOg5YPbq,Hidden Village,Slacker Jack's,42,46,(),Hidden Village,56,0.678,0.324,-12.405,160.026,157272
2747,2747,spotify:track:0uI7PWd0jx5hO5gFNjSJ6X,Komori Uta,pedrolina.,35,309,"('lo-fi brasileiro',)",Komori Uta,48,0.578,0.361,-23.969,156.075,147732
2748,2748,spotify:track:7EW0u8DM1elNsehpykrhcu,smet,ding m,43,79,(),smet,55,0.531,0.476,-13.052,70.024,152571
2749,2749,spotify:track:4cAZWQZLlDXoHGYkTNMt4i,Veraneo,Senoidal,42,41,(),Veraneo,52,0.82,0.169,-18.35,142.052,179155
2750,2750,spotify:track:7Iu0d7ORgRU1CcDymzVPck,nirwana,halfpastseven,49,579,"('lo-fi jazzhop',)",nirwana,48,0.653,0.204,-20.081,139.929,137288
