,artist_name,origin
319,Ron Hynes,Canada
320,Stuart Chatwood,Canada
321,David Usher,Canada
322,Jully Black,Canada
323,Martha Wainwright,Canada
324,Garou,Canada
325,Shad K.,Canada
326,Karl Wolf,Canada
327,Classified,Canada
328,Spencer Krug,Canada
329,Nomeansno,Canada
330,Gordon Downie,Canada
331,Bruce Palmer,Canada
332,Bob Rock,Canada
333,Hunter Valentine,Canada
334,Hawksley Workman,Canada
335,Paul Bley,Canada
336,Econoline Crush,Canada
337,Blessed by a Broken Heart,Canada
338,I Mother Earth,Canada
339,The Sadies,Canada
340,Kon Kan,Canada
341,Tom Cochrane,Canada
342,Copperpenny,Canada
343,Rick White,Canada
344,Mobile,Canada
345,Ridley Bent,Canada
346,Benjamin Kowalewicz,Canada
347,Aidan Girt,Canada
348,Aaron Lines,Canada
349,Neil Sanderson,Canada
350,Paul Brandt,Canada
351,Jesse F. Keeler,Canada
352,Jorane,Canada
353,The Four Lads,Canada
354,Ennis Sisters,Canada
355,Chris Steele,Canada
356,Chris Murray,Canada
357,The Crew-Cuts,Canada
358,Brad Roberts,Canada
359,Jeff Danna,Canada
360,The Tea Party,Canada
361,Melissa O'Neil,Canada
362,Chantal Kreviazuk,Canada
363,Headstones,Canada
364,George Canyon,Canada
365,Holy Fuck,Canada
366,Eva Avila,Canada
367,Jim Guthrie,Canada
368,Family Brown,Canada
369,Aaron Pritchett,Canada
370,Threat Signal,Canada
371,Payolas,Canada
372,Rheostatics,Canada
373,Jim Cuddy,Canada
374,Thornley,Canada
375,Mercey Brothers,Canada
376,George Fox,Canada
377,Madchild,Canada
378,Red Rider,Canada
379,Martin Tielli,Canada
380,John K. Samson,Canada
381,FM,Canada
382,Ian Tyson,Canada
383,Scott Storch,Canada
384,Andrée Watters,Canada
385,Chad VanGaalen,Canada
386,Kim Stockwood,Canada
387,Aidan Baker,Canada
388,Born Ruffians,Canada
389,Spirit of the West,Canada
390,AIDS Wolf,Canada
391,Jeff Burrows,Canada
392,Stephen Fearing,Canada
393,Hemingway Corner,Canada
394,PlatEAU,Canada
395,Default,Canada
396,Jason Collett,Canada
397,Hank Snow,Canada
398,Jacob Hoggard,Canada
399,Tara MacLean,Canada
400,Bootsauce,Canada
401,Doubting Thomas,Canada
402,Holly Cole,Canada
403,Priestess,Canada
404,Deric Ruttan,Canada
405,Project Wyze,Canada
406,Shane Told,Canada
407,Matt Minglewood,Canada
408,Sarina Paris,Canada
409,Tapps,Canada
410,Dan Roberts,Canada
411,The Rankin Family,Canada
412,Domenica,Canada
413,Michel Rivard,Canada
414,Gil Grand,Canada
415,Ash Koley,Canada
416,Diane Tell,Canada
417,Lougarou,Canada
418,Junior Boys,Canada
419,The Dears,Canada
420,Imaad Wasif,Canada
421,Terry Carisse,Canada
422,Steve Fox,Canada
423,13 Engines,Canada
424,Dave Bidini,Canada
425,Kristine Sa,Canada
426,Constantines,Canada
427,Tommy Hunter,Canada
428,Bryan Webb,Canada
429,Ellen Reid,Canada
430,Platinum Blonde,Canada
431,Raghav,Canada
432,Daniel Adair,Canada
433,Luke Doucet,Canada
434,Susan Aglukark,Canada
435,Craig Pattison,Canada
436,Doug and The Slugs,Canada
437,Dan Bryk,Canada
438,Qurram Hussain,Canada
439,Cœur de pirate,Canada
440,Régine Chassagne,Canada
441,Carolyn Dawn Johnson,Canada
442,Natalie Appleton,Canada
443,Monster Voodoo Machine,Canada
444,The Box,Canada
445,Matthew Barber,Canada
446,Ray Griff,Canada
447,Andrew Scott,Canada
448,Derek R. Audette,Canada
449,Willie P. Bennett,Canada
450,Pilot Speed,Canada
451,Vaughn Lal,Canada
452,Cauldron,Canada
453,David Wilcox,Canada
454,Dawud Wharnsby Ali,Canada
455,Hal Willis,Canada
456,Michael Phillip-Wojewoda,Canada
457,Amy Sky,Canada
458,Doug MacGregor,Canada
459,Bruno Pelletier,Canada
460,Moist,Canada
461,Psyche,Canada
462,Patricia Conroy,Canada
463,Dave Clark,Canada
464,54-40,Canada
465,Dala,Canada
466,Frozen Ghost,Canada
467,Jake Mathews,Canada
468,Suzie Ungerleider,Canada
469,Malhavoc,Canada
470,Indio,Canada
471,Bruce Guthro,Canada
472,The Shuffle Demons,Canada
473,Josh,Canada
474,Elevator,Canada
475,I Hate Sally,Canada
476,Devon Sproule,Canada
477,SNFU,Canada
478,Cory Lee,Canada
479,Melissa McClelland,Canada
480,Fito Blanko,Canada
481,Sven Gali,Canada
